designation,winery,variety,region_1,province,country,price,points,latitud,longitud,elevation
Thorn,Grant Burge,Riesling,Eden Valley,South Australia,Australia,19.0,88,-34.5615916,138.9754373,323.2424926757812
Doganella Il Tintorosso,Tommasi,Red Blend,Maremma,Tuscany,Italy,15.0,87,42.6086111,11.6966667,354.9888916015625
Reserve,Castoro Cellars,Cabernet Sauvignon,Paso Robles,California,US,28.0,87,35.5772607,-120.722921,280.32470703125
Ellenbach Vineyard,Etude,Pinot Noir,Sonoma Coast,California,US,60.0,90,38.2458215,-122.3150228,16.87372779846191
Il Monovitigno,Benanti,Nero d'Avola,Sicilia,Sicily & Sardinia,Italy,30.0,88,37.5999938,14.0153557,622.5406494140625
Centine,Banfi,Rosé,Toscana,Tuscany,Italy,12.0,87,42.980621,11.400659,215.0111083984375
Crianza,Finca Antigua,Red Blend,La Mancha,Central Spain,Spain,12.0,85,39.6310835,-2.8920419,871.1898193359375
Gypsy,Epiphany,Rhône-style Red Blend,Santa Barbara County,California,US,25.0,90,34.6669689,-120.1147479,252.7729949951172
Reserve,Concannon,Syrah,Livermore Valley,California,US,24.0,89,37.666199,-121.7397388,178.6521301269531
Le Vigne,Sandrone,Nebbiolo,Barolo,Piedmont,Italy,118.0,86,44.6208903,7.954625300000001,224.5491485595703
Kiara Private Reserve,Sylvester,Sauvignon Blanc,Paso Robles,California,US,15.0,87,35.674848,-120.6586765,233.9956817626953
Cartizze Dry,Le Colture,Glera,Valdobbiadene Superiore di Cartizze,Veneto,Italy,32.0,90,45.9026709,12.0373967,246.5776977539062
Estate,Holman Ranch,Sauvignon Blanc,Carmel Valley,California,US,18.0,87,36.4802771,-121.7213055,178.8336944580078
Edicion Limitada,Aguma,Cabernet Sauvignon,San Juan,Other,Argentina,32.0,86,18.4655394,-66.1057355,4.580148696899414
Shea Vineyard,Boedecker Cellars,Pinot Noir,Willamette Valley,Oregon,US,45.0,88,45.5406988,-122.7128257,10.44398784637451
Rabajà,Bruno Rocca,Nebbiolo,Barbaresco,Piedmont,Italy,100.0,94,44.71468240000001,8.084687599999999,298.0337524414062
Lotus Cuvee Lot #123,Orfila,Rhône-style White Blend,San Pasqual,California,US,28.0,86,33.0705556,-117.0438889,149.6978454589844
Reserve,William Hill Estate,Cabernet Sauvignon,Napa Valley,California,US,52.0,87,38.355496,-122.27018,38.96879196166992
Estate,The Eyrie Vineyards,Chardonnay,Dundee Hills,Oregon,US,27.0,90,45.214049,-123.1878305,46.79660034179688
Mesache Blanco,Bodegas Pirineos,White Blend,Somontano,Northern Spain,Spain,11.0,85,42.057834,0.092275,354.0908203125
Praepositus Riserva,Abbazia di Novacella,Lagrein,Alto Adige,Northeastern Italy,Italy,40.0,89,46.7434227,11.6484098,591.292236328125
